ID,Text,UID,Window_ID,Follow_IDs,Button_IDs,OK,Scenario_ID,Scenario_Trigger,HAS TRIGGER,WINDOW ID ERRORS
1,"Heey, hat alles geklappt?",Basti,Basti,2,,,onboarding,start,FALSE,TRUE
2,"Ja, bin drin. Sehe aber noch keine Aufträge",Player,Basti,3,,,onboarding,,TRUE,TRUE
3,"Aaaah right, ich muss dich noch freischalten.",Basti,Basti,4,,,onboarding,,TRUE,TRUE
4,ok,Player,Basti,"5,6",,,onboarding,,TRUE,TRUE
5,sehe noch nichts,Player,Basti,7,,,onboarding,,TRUE,TRUE
6,hast du?,Player,Basti,7,,,onboarding,,TRUE,TRUE
7,aah sorry 😅,Basti,Basti,8,,,onboarding,,TRUE,TRUE
8,"bin grad noch ingame. aber scheiß drauf, ich mach das jetzt kurz",Basti,Basti,9,,,onboarding,,TRUE,TRUE
9,team muss kurz ohne mich klar kommen,Basti,Basti,"10,11",,,onboarding,,TRUE,TRUE
10,danke!,Player,Basti,15,,,onboarding,,TRUE,TRUE
11,endlich 😁,Player,Basti,12,,,onboarding,,TRUE,TRUE
12,"haha, du bist ja schon richtig heiß was ?? Du weißt nicht was dich erwartet 😬",Basti,Basti,13,,,onboarding,,TRUE,TRUE
13,So schlimm? 😳,Player,Basti,14,,,onboarding,,TRUE,TRUE
14,Du hast keine Ahnung. Aber siehst du gleich,Basti,Basti,15,,,onboarding,,TRUE,TRUE
15,"ok, ich geh in den manager und schalte dich frei",Basti,Basti,16,,,onboarding,,TRUE,TRUE
16,"Danke übrigens nochmal, dass du mir den Job besorgt hast 🙏🙏",Player,Basti,17,,,onboarding,,TRUE,TRUE
17,kein ding 😎,Basti,Basti,18,,,onboarding,,TRUE,TRUE
18,Für mich schon. Ohne Job.. würd ich jetzt unter der Brücke wohnen oder so 😬,Player,Basti,19,,,onboarding,,TRUE,TRUE
19,das lass ich doch nicht zu! ich brauch doch meine team mates. außerdem.. wie lange kenn wir uns schon?,Basti,Basti,20,,,onboarding,,TRUE,TRUE
20,mhhh zwei Jahre? Aber halt nur aus cs.,Player,Basti,21,,,onboarding,,TRUE,TRUE
21,?,Basti,Basti,"22,23",,,onboarding,,TRUE,TRUE
22,"Ich meine.. ist ja nicht selbstverständlich, wenn man sich nur online kennt 😅",Player,Basti,24,,,onboarding,,TRUE,TRUE
23,"Wir haben uns ja noch nie ""richtig"" gesehen und du hilfst mir einfach so",Player,Basti,24,,,onboarding,,TRUE,TRUE
24,is doch genauso real wie draußen auf der strasse,Basti,Basti,25,,,onboarding,,TRUE,TRUE
25,ich kenn dich sogar besser als die meisten von der strasse 😂😂,Basti,Basti,"26,27",,,onboarding,,TRUE,TRUE
26,Stimmt auch wieder,Player,Basti,28,,,onboarding,,TRUE,TRUE
27,😅,Player,Basti,28,,,onboarding,,TRUE,TRUE
28,"ok, hab dich freigeschaltet",Basti,Basti,29,,,onboarding,end,TRUE,TRUE
29,leite dir einen report weiter. aber noch nix anklicken pls,Basti,Basti,m0,,,tutorial,start,TRUE,TRUE
m0,Nie vergessen: Der Holocaust ist wie die Mondlandung. FREI ERFUNDEN!! #WachsamBleiben,StaatsWatch,Mod,t0,"t28,t32,t35",0,tutorial,,TRUE,TRUE
t0,Ist da! Aufregend 😱,Player,Basti,t1,,,tutorial,,TRUE,TRUE
t1,NIX ANKLICKEN!,Basti,Basti,"t2,t3",,,turorial,,TRUE,TRUE
t2,Okay,Player,Basti,t4,,,tutorial,,TRUE,TRUE
t3,"Jo, erklär erstmal",Player,Basti,t4,,,tutorial,,TRUE,TRUE
